Hub,Address,OpenStreetMap Data,Geolocation
Arcadian Shopping Center,"225-207 Albany Post Rd, Briarcliff Manor, NY 10510","(41.1394616, -73.861803, {'place_id': 328948482, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 260854757, 'lat': '41.1394616', 'lon': '-73.8618030', 'class': 'highway', 'type': 'primary', 'place_rank': 26, 'importance': 0.05338392538338289, 'addresstype': 'road', 'name': 'South Highland Avenue', 'display_name': 'South Highland Avenue, Scarborough, Village of Briarcliff Manor, Town of Ossining, Westchester County, New York, 10510, United States', 'extratags': {'lanes': '3', 'surface': 'asphalt', 'maxspeed': '40 mph', 'sidewalk': 'no', 'lanes:forward': '1', 'lanes:backward': '1', 'lanes:both_ways': '1', 'turn:lanes:both_ways': 'left'}, 'boundingbox': ['41.1379390', '41.1411018', '-73.8618067', '-73.8612486']})","(41.1394616, -73.861803)"
C Town Markets,"100 Croton Ave, Ossining, NY 10562","(41.1653387, -73.856297, {'place_id': 330584028, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 745301090, 'lat': '41.1653387', 'lon': '-73.8562970', 'class': 'building', 'type': 'retail', 'place_rank': 30, 'importance': 5.401922636754433e-05, 'addresstype': 'building', 'name': '', 'display_name': '100, Croton Avenue, Village of Ossining, Town of Ossining, Westchester County, New York, 10562, United States', 'extratags': {'nysgissam:nysaddresspointid': 'WEST080881'}, 'boundingbox': ['41.1650649', '41.1655496', '-73.8566824', '-73.8559047']})","(41.1653387, -73.856297)"
Cronton Ave & Pleasantville Road,"Croton Ave & Pleasantville Rd, Ossining, NY 10562","(41.1669377, -73.8497735, {'place_id': 328586537, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 6796208044, 'lat': '41.1669377', 'lon': '-73.8497735', 'class': 'highway', 'type': 'bus_stop', 'place_rank': 30, 'importance': 5.401922636754433e-05, 'addresstype': 'highway', 'name': 'CROTON AVE @ PLEASANTVILLE RD', 'display_name': 'CROTON AVE @ PLEASANTVILLE RD, Croton Avenue, Village of Ossining, Town of Ossining, Westchester County, New York, 10562, United States', 'extratags': {'bus': 'yes', 'network': 'Bee-Line Bus', 'operator': 'Westchester County Department of Public Works and Transportation', 'departures_board': 'timetable', 'public_transport': 'platform'}, 'boundingbox': ['41.1668877', '41.1669877', '-73.8498235', '-73.8497235']})","(41.1669377, -73.8497735)"
Market Square,"160 Main St, Ossining, NY 10562","(41.1609922, -73.8627212, {'place_id': 327813404, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 744555438, 'lat': '41.1609922', 'lon': '-73.8627212', 'class': 'building', 'type': 'yes', 'place_rank': 30, 'importance': 5.401922636754433e-05, 'addresstype': 'building', 'name': '', 'display_name': '160, Main Street, Village of Ossining, Town of Ossining, Westchester County, New York, 10562, United States', 'extratags': {'nysgissam:nysaddresspointid': 'WEST081695'}, 'boundingbox': ['41.1607832', '41.1611496', '-73.8627939', '-73.8626276']})","(41.1609922, -73.8627212)"
Metro North - Plaza,"1 Secor Rd, Ossining, NY 10562","(41.157844, -73.868112, {'place_id': 365405434, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 23476866, 'lat': '41.1578440', 'lon': '-73.8681120', 'class': 'place', 'type': 'house', 'place_rank': 30, 'importance': 9.99999999995449e-06, 'addresstype': 'place', 'name': '', 'display_name': '1, Secor Road, Village of Ossining, Town of Ossining, Westchester County, New York, 10562, United States', 'extratags': None, 'boundingbox': ['41.1577940', '41.1578940', '-73.8681620', '-73.8680620']})","(41.157844, -73.868112)"
Municipal Parking Lot Lot# 7,"1-15 Leonard St, Ossining, NY 10562","(41.1618223, -73.8629757, {'place_id': 335465341, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 23476308, 'lat': '41.1618223', 'lon': '-73.8629757', 'class': 'highway', 'type': 'residential', 'place_rank': 26, 'importance': 0.05338735255970089, 'addresstype': 'road', 'name': 'Leonard Street', 'display_name': 'Leonard Street, Village of Ossining, Town of Ossining, Westchester County, New York, 10562, United States', 'extratags': None, 'boundingbox': ['41.1617202', '41.1622040', '-73.8635170', '-73.8627852']})","(41.1618223, -73.8629757)"
Nelson park,"20 Madison Ave, Ossining, NY 10562","(41.1521048, -73.8623897, {'place_id': 329884689, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 8805963631, 'lat': '41.1521048', 'lon': '-73.8623897', 'class': 'place', 'type': 'house', 'place_rank': 30, 'importance': 5.401922636754433e-05, 'addresstype': 'place', 'name': '', 'display_name': '20, Madison Avenue, Village of Ossining, Town of Ossining, Westchester County, New York, 10562, United States', 'extratags': {'nysgissam:nysaddresspointid': 'WEST082295'}, 'boundingbox': ['41.1520548', '41.1521548', '-73.8624397', '-73.8623397']})","(41.1521048, -73.8623897)"
Ossining Public Library,"53 Croton Ave, Ossining, NY 10562","(41.1642872, -73.8604165, {'place_id': 330117371, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 745288373, 'lat': '41.1642872', 'lon': '-73.8604165', 'class': 'building', 'type': 'yes', 'place_rank': 30, 'importance': 5.401922636754433e-05, 'addresstype': 'building', 'name': '', 'display_name': '53, Croton Avenue, Village of Ossining, Town of Ossining, Westchester County, New York, 10562, United States', 'extratags': {'nysgissam:nysaddresspointid': 'WEST080712'}, 'boundingbox': ['41.1641066', '41.1644244', '-73.8606477', '-73.8601126']})","(41.1642872, -73.8604165)"
Spring & Waller,"Spring St & Waller Ave, Ossining, NY 10562","(41.1593892, -73.8638232, {'place_id': 330188213, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 6796000986, 'lat': '41.1593892', 'lon': '-73.8638232', 'class': 'highway', 'type': 'bus_stop', 'place_rank': 30, 'importance': 5.401922636754433e-05, 'addresstype': 'highway', 'name': 'SPRING ST @ WALLER AVE', 'display_name': 'SPRING ST @ WALLER AVE, Spring Street, Village of Ossining, Town of Ossining, Westchester County, New York, 10562, United States', 'extratags': {'bin': 'yes', 'bus': 'yes', 'bench': 'yes', 'network': 'Bee-Line Bus', 'shelter': 'yes', 'operator': 'Westchester County Department of Public Works and Transportation', 'tactile_paving': 'no', 'departures_board': 'timetable', 'public_transport': 'platform'}, 'boundingbox': ['41.1593392', '41.1594392', '-73.8638732', '-73.8637732']})","(41.1593892, -73.8638232)"
"Spring St, Cofield","Spring St & Broad Ave, Ossining, NY 10562","(41.1570899, -73.8640002, {'place_id': 330122176, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 6796000985, 'lat': '41.1570899', 'lon': '-73.8640002', 'class': 'highway', 'type': 'bus_stop', 'place_rank': 30, 'importance': 5.401922636754433e-05, 'addresstype': 'highway', 'name': 'SPRING ST @ BROAD AVE', 'display_name': 'SPRING ST @ BROAD AVE, Spring Street, Village of Ossining, Town of Ossining, Westchester County, New York, 10562, United States', 'extratags': {'bin': 'no', 'bus': 'yes', 'lit': 'yes', 'bench': 'no', 'network': 'Bee-Line', 'shelter': 'no', 'operator': 'Westchester County Department of Public Works and Transportation', 'operator:short': 'WCDOT', 'tactile_paving': 'yes', 'departures_board': 'timetable', 'network:wikidata': 'Q4879491', 'public_transport': 'platform'}, 'boundingbox': ['41.1570399', '41.1571399', '-73.8640502', '-73.8639502']})","(41.1570899, -73.8640002)"
Wishnie Park,"145-149 Orchard Rd, Briarcliff Manor, NY 10510","(41.1607067, -73.8477673, {'place_id': 327043595, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 23530399, 'lat': '41.1607067', 'lon': '-73.8477673', 'class': 'highway', 'type': 'residential', 'place_rank': 26, 'importance': 0.05338392538338289, 'addresstype': 'road', 'name': 'Orchard Road', 'display_name': 'Orchard Road, Village of Briarcliff Manor, Town of Ossining, Westchester County, New York, 10562, United States', 'extratags': {'surface': 'asphalt', 'lane_markings': 'no'}, 'boundingbox': ['41.1578580', '41.1628472', '-73.8489310', '-73.8453889']})","(41.1607067, -73.8477673)"
